payment_ref_number,object,object_ref_number,payment_for,payment_for_ref_number,payment_reason,payment_mode,amount,status,payment_datetime,case_ref_number,payment_source
PRN_OOJA_0022,CUSTOMER,CT_POOJA,CASE,CR_010_POOJA,LOAN_PAYMENT,ONLINE,12777,FAILED,2024-06-26T09:45:00,CR_010_POOJA,FIELD_APP
PRN_VITA_0001,CUSTOMER,CT_AVITA,CASE,CR_008_KAVITA,LOAN_PAYMENT,ONLINE,6458,SUCCESS,2024-06-27T13:19:00,CR_008_KAVITA,LINK
PRN_OOJA_0014,CUSTOMER,CT_POOJA,CASE,CR_010_POOJA,LOAN_PAYMENT,CASA_DEBIT,6388,SUCCESS,2024-07-05T10:30:00,CR_010_POOJA,TELECALLING
PRN_RJUN_0005,CUSTOMER,CT_ARJUN,CASE,CR_007_ARJUN,LOAN_PAYMENT,NACH,4250,SUCCESS,2024-07-14T18:00:00,CR_007_ARJUN,TELECALLING
PRN_RJUN_0017,CUSTOMER,CT_ARJUN,CASE,CR_007_ARJUN,LOAN_PAYMENT,CASH,2000,FAILED,2024-08-05T19:48:00,CR_007_ARJUN,TELECALLING
PRN_NITA_0002,CUSTOMER,CT_UNITA,CASE,CR_004_SUNITA,LOAN_PAYMENT,CASH,3833,SUCCESS,2024-08-09T21:53:00,CR_004_SUNITA,CUSTOMER_PORTAL
PRN_KRAM_0013,CUSTOMER,CT_IKRAM,CASE,CR_005_VIKRAM,LOAN_PAYMENT,NACH,1888,SUCCESS,2024-08-30T14:08:00,CR_005_VIKRAM,TELECALLING
PRN_RJUN_0014,CUSTOMER,CT_ARJUN,CASE,CR_007_ARJUN,LOAN_PAYMENT,ONLINE,5000,SUCCESS,2024-09-02T10:28:00,CR_007_ARJUN,CUSTOMER_PORTAL
PRN_RJUN_0022,CUSTOMER,CT_ARJUN,CASE,CR_007_ARJUN,LOAN_PAYMENT,CASH,2500,FAILED,2024-09-02T17:47:00,CR_007_ARJUN,LINK
PRN_KRAM_0016,CUSTOMER,CT_IKRAM,CASE,CR_005_VIKRAM,LOAN_PAYMENT,CASH,4013,SUCCESS,2024-09-06T14:45:00,CR_005_VIKRAM,FIELD_APP
PRN_EERA_0017,CUSTOMER,CT_MEERA,CASE,CR_006_MEERA,LOAN_PAYMENT,UPI,7291,SUCCESS,2024-11-08T15:05:00,CR_006_MEERA,CUSTOMER_PORTAL
PRN_OOJA_0002,CUSTOMER,CT_POOJA,CASE,CR_010_POOJA,LOAN_PAYMENT,CASA_DEBIT,12777,SUCCESS,2024-11-10T13:44:00,CR_010_POOJA,CUSTOMER_PORTAL
PRN_OOJA_0019,CUSTOMER,CT_POOJA,CASE,CR_010_POOJA,LOAN_PAYMENT,NACH,5110,SUCCESS,2024-11-11T14:00:00,CR_010_POOJA,FIELD_APP
PRN_EERA_0016,CUSTOMER,CT_MEERA,CASE,CR_006_MEERA,LOAN_PAYMENT,NACH,6197,SUCCESS,2024-11-17T10:57:00,CR_006_MEERA,LINK
PRN_OOJA_0018,CUSTOMER,CT_POOJA,CASE,CR_010_POOJA,LOAN_PAYMENT,ONLINE,6388,SUCCESS,2024-11-23T15:20:00,CR_010_POOJA,FIELD_APP
PRN_OOJA_0005,CUSTOMER,CT_POOJA,CASE,CR_010_POOJA,LOAN_PAYMENT,NACH,8943,SUCCESS,2024-11-25T11:31:00,CR_010_POOJA,CUSTOMER_PORTAL
PRN_EERA_0011,CUSTOMER,CT_MEERA,CASE,CR_006_MEERA,LOAN_PAYMENT,CASA_DEBIT,3645,FAILED,2024-11-28T12:35:00,CR_006_MEERA,FIELD_APP
PRN_KRAM_0004,CUSTOMER,CT_IKRAM,CASE,CR_005_VIKRAM,LOAN_PAYMENT,NACH,4722,FAILED,2024-12-02T12:32:00,CR_005_VIKRAM,LINK
PRN_EERA_0001,CUSTOMER,CT_MEERA,CASE,CR_006_MEERA,LOAN_PAYMENT,CASH,7291,SUCCESS,2024-12-06T11:56:00,CR_006_MEERA,CUSTOMER_PORTAL
PRN_OOJA_0009,CUSTOMER,CT_POOJA,CASE,CR_010_POOJA,LOAN_PAYMENT,CASH,8943,FAILED,2024-12-22T10:03:00,CR_010_POOJA,TELECALLING
PRN_KRAM_0007,CUSTOMER,CT_IKRAM,CASE,CR_005_VIKRAM,LOAN_PAYMENT,NACH,4722,SUCCESS,2025-01-02T11:26:00,CR_005_VIKRAM,LINK
PRN_NITA_0004,CUSTOMER,CT_UNITA,CASE,CR_004_SUNITA,LOAN_PAYMENT,CASH,9583,SUCCESS,2025-01-15T16:47:00,CR_004_SUNITA,LINK
PRN_RJUN_0012,CUSTOMER,CT_ARJUN,CASE,CR_007_ARJUN,LOAN_PAYMENT,ONLINE,2500,FAILED,2025-02-04T15:41:00,CR_007_ARJUN,FIELD_APP
PRN_RJUN_0003,CUSTOMER,CT_ARJUN,CASE,CR_007_ARJUN,LOAN_PAYMENT,UPI,5000,SUCCESS,2025-02-08T18:10:00,CR_007_ARJUN,TELECALLING
PRN_EERA_0005,CUSTOMER,CT_MEERA,CASE,CR_006_MEERA,LOAN_PAYMENT,CASH,7291,SUCCESS,2025-02-22T10:42:00,CR_006_MEERA,LINK
PRN_RJUN_0015,CUSTOMER,CT_ARJUN,CASE,CR_007_ARJUN,LOAN_PAYMENT,CASH,5000,SUCCESS,2025-03-22T14:09:00,CR_007_ARJUN,CUSTOMER_PORTAL
PRN_EERA_0002,CUSTOMER,CT_MEERA,CASE,CR_006_MEERA,LOAN_PAYMENT,CASH,5103,SUCCESS,2025-03-25T12:48:00,CR_006_MEERA,FIELD_APP
PRN_RJUN_0019,CUSTOMER,CT_ARJUN,CASE,CR_007_ARJUN,LOAN_PAYMENT,ONLINE,2500,SUCCESS,2025-04-18T10:32:00,CR_007_ARJUN,LINK
PRN_KRAM_0001,CUSTOMER,CT_IKRAM,CASE,CR_005_VIKRAM,LOAN_PAYMENT,UPI,4013,SUCCESS,2025-05-14T09:32:00,CR_005_VIKRAM,FIELD_APP
PRN_KRAM_0023,CUSTOMER,CT_IKRAM,CASE,CR_005_VIKRAM,LOAN_PAYMENT,CASH,2361,SUCCESS,2025-05-15T17:17:00,CR_005_VIKRAM,CUSTOMER_PORTAL
PRN_JESH_0004,CUSTOMER,CT_AJESH,CASE,CR_001_RAJESH,LOAN_PAYMENT,CASA_DEBIT,9583,SUCCESS,2025-05-18T13:44:00,CR_001_RAJESH,FIELD_APP
PRN_NITA_0001,CUSTOMER,CT_UNITA,CASE,CR_004_SUNITA,LOAN_PAYMENT,CASH,4791,SUCCESS,2025-05-20T22:52:00,CR_004_SUNITA,FIELD_APP
PRN_EERA_0004,CUSTOMER,CT_MEERA,CASE,CR_006_MEERA,LOAN_PAYMENT,CASH,3645,SUCCESS,2025-05-25T13:10:00,CR_006_MEERA,LINK
PRN_KRAM_0003,CUSTOMER,CT_IKRAM,CASE,CR_005_VIKRAM,LOAN_PAYMENT,CASA_DEBIT,4722,SUCCESS,2025-05-28T17:02:00,CR_005_VIKRAM,CUSTOMER_PORTAL
PRN_EERA_0014,CUSTOMER,CT_MEERA,CASE,CR_006_MEERA,LOAN_PAYMENT,NACH,7291,FAILED,2025-06-02T15:28:00,CR_006_MEERA,FIELD_APP
PRN_EERA_0013,CUSTOMER,CT_MEERA,CASE,CR_006_MEERA,LOAN_PAYMENT,NACH,5103,SUCCESS,2025-06-13T18:28:00,CR_006_MEERA,CUSTOMER_PORTAL
PRN_OOJA_0004,CUSTOMER,CT_POOJA,CASE,CR_010_POOJA,LOAN_PAYMENT,ONLINE,8943,SUCCESS,2025-06-14T14:58:00,CR_010_POOJA,FIELD_APP
PRN_JESH_0009,CUSTOMER,CT_AJESH,CASE,CR_001_RAJESH,LOAN_PAYMENT,ONLINE,9583,SUCCESS,2025-06-17T10:47:00,CR_001_RAJESH,FIELD_APP
PRN_NJAY_0003,CUSTOMER,CT_ANJAY,CASE,CR_009_SANJAY,LOAN_PAYMENT,CASA_DEBIT,4131,SUCCESS,2025-06-23T19:57:00,CR_009_SANJAY,LINK
PRN_JESH_0014,CUSTOMER,CT_AJESH,CASE,CR_001_RAJESH,LOAN_PAYMENT,CASH,4791,SUCCESS,2025-06-28T14:34:00,CR_001_RAJESH,CUSTOMER_PORTAL
PRN_OOJA_0013,CUSTOMER,CT_POOJA,CASE,CR_010_POOJA,LOAN_PAYMENT,UPI,12777,SUCCESS,2025-07-01T22:15:00,CR_010_POOJA,CUSTOMER_PORTAL
PRN_EERA_0000,CUSTOMER,CT_MEERA,CASE,CR_006_MEERA,LOAN_PAYMENT,CASH,6197,SUCCESS,2025-07-03T09:32:00,CR_006_MEERA,CUSTOMER_PORTAL
PRN_JESH_0019,CUSTOMER,CT_AJESH,CASE,CR_001_RAJESH,LOAN_PAYMENT,CASA_DEBIT,4791,SUCCESS,2025-07-09T17:01:00,CR_001_RAJESH,FIELD_APP
PRN_JESH_0012,CUSTOMER,CT_AJESH,CASE,CR_001_RAJESH,LOAN_PAYMENT,ONLINE,6708,FAILED,2025-07-18T11:09:00,CR_001_RAJESH,TELECALLING
PRN_RJUN_0016,CUSTOMER,CT_ARJUN,CASE,CR_007_ARJUN,LOAN_PAYMENT,UPI,2500,SUCCESS,2025-07-20T09:02:00,CR_007_ARJUN,TELECALLING
PRN_OOJA_0006,CUSTOMER,CT_POOJA,CASE,CR_010_POOJA,LOAN_PAYMENT,ONLINE,6388,SUCCESS,2025-07-22T11:30:00,CR_010_POOJA,LINK
PRN_OOJA_0011,CUSTOMER,CT_POOJA,CASE,CR_010_POOJA,LOAN_PAYMENT,UPI,5110,SUCCESS,2025-07-27T19:58:00,CR_010_POOJA,FIELD_APP
PRN_JESH_0016,CUSTOMER,CT_AJESH,CASE,CR_001_RAJESH,LOAN_PAYMENT,UPI,9583,SUCCESS,2025-08-05T14:25:00,CR_001_RAJESH,TELECALLING
PRN_OOJA_0017,CUSTOMER,CT_POOJA,CASE,CR_010_POOJA,LOAN_PAYMENT,NACH,5110,SUCCESS,2025-08-08T10:15:00,CR_010_POOJA,LINK
PRN_NJAY_0004,CUSTOMER,CT_ANJAY,CASE,CR_009_SANJAY,LOAN_PAYMENT,CASA_DEBIT,4861,SUCCESS,2025-08-18T15:45:00,CR_009_SANJAY,FIELD_APP
PRN_RJUN_0002,CUSTOMER,CT_ARJUN,CASE,CR_007_ARJUN,LOAN_PAYMENT,CASA_DEBIT,5000,FAILED,2025-08-18T18:23:00,CR_007_ARJUN,LINK
PRN_JESH_0022,CUSTOMER,CT_AJESH,CASE,CR_001_RAJESH,LOAN_PAYMENT,UPI,6708,SUCCESS,2025-08-21T19:16:00,CR_001_RAJESH,FIELD_APP
PRN_JESH_0023,CUSTOMER,CT_AJESH,CASE,CR_001_RAJESH,LOAN_PAYMENT,NACH,8145,SUCCESS,2025-08-23T16:23:00,CR_001_RAJESH,CUSTOMER_PORTAL
PRN_RJUN_0007,CUSTOMER,CT_ARJUN,CASE,CR_007_ARJUN,LOAN_PAYMENT,UPI,3500,SUCCESS,2025-08-31T12:02:00,CR_007_ARJUN,LINK
PRN_OOJA_0001,CUSTOMER,CT_POOJA,CASE,CR_010_POOJA,LOAN_PAYMENT,CASH,5110,SUCCESS,2025-09-07T17:36:00,CR_010_POOJA,TELECALLING
PRN_JESH_0011,CUSTOMER,CT_AJESH,CASE,CR_001_RAJESH,LOAN_PAYMENT,CASA_DEBIT,3833,SUCCESS,2025-09-08T21:27:00,CR_001_RAJESH,CUSTOMER_PORTAL
PRN_RJUN_0020,CUSTOMER,CT_ARJUN,CASE,CR_007_ARJUN,LOAN_PAYMENT,UPI,4250,FAILED,2025-09-10T17:33:00,CR_007_ARJUN,CUSTOMER_PORTAL
PRN_JESH_0000,CUSTOMER,CT_AJESH,CASE,CR_001_RAJESH,LOAN_PAYMENT,ONLINE,6708,SUCCESS,2025-09-19T13:19:00,CR_001_RAJESH,TELECALLING
PRN_JESH_0003,CUSTOMER,CT_AJESH,CASE,CR_001_RAJESH,LOAN_PAYMENT,CASH,4791,SUCCESS,2025-09-23T14:02:00,CR_001_RAJESH,TELECALLING
PRN_EERA_0006,CUSTOMER,CT_MEERA,CASE,CR_006_MEERA,LOAN_PAYMENT,CASA_DEBIT,6197,SUCCESS,2025-10-05T12:14:00,CR_006_MEERA,TELECALLING
PRN_JESH_0017,CUSTOMER,CT_AJESH,CASE,CR_001_RAJESH,LOAN_PAYMENT,ONLINE,9583,SUCCESS,2025-10-06T11:04:00,CR_001_RAJESH,LINK
PRN_JESH_0008,CUSTOMER,CT_AJESH,CASE,CR_001_RAJESH,LOAN_PAYMENT,CASH,8145,SUCCESS,2025-10-10T13:10:00,CR_001_RAJESH,TELECALLING
PRN_KRAM_0011,CUSTOMER,CT_IKRAM,CASE,CR_005_VIKRAM,LOAN_PAYMENT,UPI,3305,SUCCESS,2025-10-11T12:12:00,CR_005_VIKRAM,TELECALLING
PRN_JESH_0015,CUSTOMER,CT_AJESH,CASE,CR_001_RAJESH,LOAN_PAYMENT,CASA_DEBIT,9583,SUCCESS,2025-10-18T19:54:00,CR_001_RAJESH,CUSTOMER_PORTAL
PRN_JESH_0021,CUSTOMER,CT_AJESH,CASE,CR_001_RAJESH,LOAN_PAYMENT,UPI,3833,SUCCESS,2025-10-21T15:30:00,CR_001_RAJESH,TELECALLING
PRN_KRAM_0000,CUSTOMER,CT_IKRAM,CASE,CR_005_VIKRAM,LOAN_PAYMENT,UPI,2361,SUCCESS,2025-10-22T20:05:00,CR_005_VIKRAM,FIELD_APP
PRN_JESH_0005,CUSTOMER,CT_AJESH,CASE,CR_001_RAJESH,LOAN_PAYMENT,ONLINE,9583,SUCCESS,2025-10-28T09:53:00,CR_001_RAJESH,TELECALLING
PRN_EERA_0007,CUSTOMER,CT_MEERA,CASE,CR_006_MEERA,LOAN_PAYMENT,ONLINE,6197,SUCCESS,2025-10-31T21:46:00,CR_006_MEERA,FIELD_APP
PRN_JESH_0002,CUSTOMER,CT_AJESH,CASE,CR_001_RAJESH,LOAN_PAYMENT,ONLINE,8145,SUCCESS,2025-11-01T09:32:00,CR_001_RAJESH,LINK
PRN_KRAM_0006,CUSTOMER,CT_IKRAM,CASE,CR_005_VIKRAM,LOAN_PAYMENT,NACH,2361,SUCCESS,2025-11-04T09:15:00,CR_005_VIKRAM,TELECALLING
PRN_EERA_0015,CUSTOMER,CT_MEERA,CASE,CR_006_MEERA,LOAN_PAYMENT,UPI,7291,SUCCESS,2025-11-08T17:59:00,CR_006_MEERA,LINK
PRN_NITA_0003,CUSTOMER,CT_UNITA,CASE,CR_004_SUNITA,LOAN_PAYMENT,CASA_DEBIT,3833,SUCCESS,2025-11-10T09:15:00,CR_004_SUNITA,CUSTOMER_PORTAL
PRN_OOJA_0021,CUSTOMER,CT_POOJA,CASE,CR_010_POOJA,LOAN_PAYMENT,UPI,6388,SUCCESS,2025-11-12T13:05:00,CR_010_POOJA,LINK
PRN_KRAM_0019,CUSTOMER,CT_IKRAM,CASE,CR_005_VIKRAM,LOAN_PAYMENT,CASH,4013,SUCCESS,2025-11-17T20:24:00,CR_005_VIKRAM,LINK
PRN_JESH_0007,CUSTOMER,CT_AJESH,CASE,CR_001_RAJESH,LOAN_PAYMENT,CASA_DEBIT,8145,FAILED,2025-11-18T12:45:00,CR_001_RAJESH,TELECALLING
PRN_VITA_0000,CUSTOMER,CT_AVITA,CASE,CR_008_KAVITA,LOAN_PAYMENT,CASH,10978,SUCCESS,2025-11-28T13:21:00,CR_008_KAVITA,FIELD_APP
PRN_EERA_0012,CUSTOMER,CT_MEERA,CASE,CR_006_MEERA,LOAN_PAYMENT,ONLINE,6197,SUCCESS,2025-12-09T10:17:00,CR_006_MEERA,LINK
PRN_KRAM_0018,CUSTOMER,CT_IKRAM,CASE,CR_005_VIKRAM,LOAN_PAYMENT,CASA_DEBIT,4722,SUCCESS,2025-12-11T18:58:00,CR_005_VIKRAM,CUSTOMER_PORTAL
PRN_JESH_0001,CUSTOMER,CT_AJESH,CASE,CR_001_RAJESH,LOAN_PAYMENT,NACH,4791,SUCCESS,2025-12-19T16:31:00,CR_001_RAJESH,FIELD_APP
PRN_JESH_0010,CUSTOMER,CT_AJESH,CASE,CR_001_RAJESH,LOAN_PAYMENT,ONLINE,3833,FAILED,2025-12-20T09:10:00,CR_001_RAJESH,TELECALLING
PRN_NITA_0000,CUSTOMER,CT_UNITA,CASE,CR_004_SUNITA,LOAN_PAYMENT,UPI,4791,SUCCESS,2025-12-23T14:17:00,CR_004_SUNITA,CUSTOMER_PORTAL
PRN_RJUN_0011,CUSTOMER,CT_ARJUN,CASE,CR_007_ARJUN,LOAN_PAYMENT,ONLINE,5000,SUCCESS,2025-12-26T14:06:00,CR_007_ARJUN,TELECALLING
PRN_OOJA_0008,CUSTOMER,CT_POOJA,CASE,CR_010_POOJA,LOAN_PAYMENT,CASH,12777,SUCCESS,2025-12-26T15:05:00,CR_010_POOJA,CUSTOMER_PORTAL
PRN_AMIT_0015,CUSTOMER,CT__AMIT,CASE,CR_003_AMIT,LOAN_PAYMENT,UPI,2000,SUCCESS,2026-01-03T22:04:00,CR_003_AMIT,FIELD_APP
PRN_RIYA_0005,CUSTOMER,CT_PRIYA,CASE,CR_002_PRIYA,LOAN_PAYMENT,ONLINE,7319,SUCCESS,2026-01-04T21:38:00,CR_002_PRIYA,LINK
PRN_RIYA_0001,CUSTOMER,CT_PRIYA,CASE,CR_002_PRIYA,LOAN_PAYMENT,ONLINE,8611,SUCCESS,2026-01-05T12:59:00,CR_002_PRIYA,CUSTOMER_PORTAL
PRN_RIYA_0008,CUSTOMER,CT_PRIYA,CASE,CR_002_PRIYA,LOAN_PAYMENT,CASH,4305,FAILED,2026-01-07T10:02:00,CR_002_PRIYA,CUSTOMER_PORTAL
PRN_JESH_0018,CUSTOMER,CT_AJESH,CASE,CR_001_RAJESH,LOAN_PAYMENT,NACH,3833,SUCCESS,2026-01-09T09:00:00,CR_001_RAJESH,LINK
PRN_RIYA_0003,CUSTOMER,CT_PRIYA,CASE,CR_002_PRIYA,LOAN_PAYMENT,NACH,8611,SUCCESS,2026-01-11T13:12:00,CR_002_PRIYA,LINK
PRN_RJUN_0024,CUSTOMER,CT_ARJUN,CASE,CR_007_ARJUN,LOAN_PAYMENT,UPI,2000,SUCCESS,2026-01-13T17:53:00,CR_007_ARJUN,CUSTOMER_PORTAL
PRN_KRAM_0012,CUSTOMER,CT_IKRAM,CASE,CR_005_VIKRAM,LOAN_PAYMENT,ONLINE,4013,SUCCESS,2026-01-14T12:04:00,CR_005_VIKRAM,TELECALLING
PRN_AMIT_0017,CUSTOMER,CT__AMIT,CASE,CR_003_AMIT,LOAN_PAYMENT,UPI,2000,SUCCESS,2026-01-15T17:10:00,CR_003_AMIT,FIELD_APP
PRN_RIYA_0002,CUSTOMER,CT_PRIYA,CASE,CR_002_PRIYA,LOAN_PAYMENT,ONLINE,6027,SUCCESS,2026-01-16T20:37:00,CR_002_PRIYA,TELECALLING
PRN_RJUN_0023,CUSTOMER,CT_ARJUN,CASE,CR_007_ARJUN,LOAN_PAYMENT,ONLINE,5000,SUCCESS,2026-01-16T21:07:00,CR_007_ARJUN,LINK
PRN_AMIT_0010,CUSTOMER,CT__AMIT,CASE,CR_003_AMIT,LOAN_PAYMENT,NACH,4250,FAILED,2026-01-17T09:51:00,CR_003_AMIT,FIELD_APP
PRN_AMIT_0011,CUSTOMER,CT__AMIT,CASE,CR_003_AMIT,LOAN_PAYMENT,CASA_DEBIT,2000,FAILED,2026-01-18T13:59:00,CR_003_AMIT,LINK
PRN_AMIT_0016,CUSTOMER,CT__AMIT,CASE,CR_003_AMIT,LOAN_PAYMENT,UPI,5000,SUCCESS,2026-01-19T21:23:00,CR_003_AMIT,LINK
PRN_KRAM_0020,CUSTOMER,CT_IKRAM,CASE,CR_005_VIKRAM,LOAN_PAYMENT,NACH,4013,SUCCESS,2026-01-21T21:22:00,CR_005_VIKRAM,LINK
PRN_AMIT_0004,CUSTOMER,CT__AMIT,CASE,CR_003_AMIT,LOAN_PAYMENT,CASA_DEBIT,5000,SUCCESS,2026-01-22T08:06:00,CR_003_AMIT,LINK
PRN_KRAM_0008,CUSTOMER,CT_IKRAM,CASE,CR_005_VIKRAM,LOAN_PAYMENT,CASH,4722,FAILED,2026-01-26T11:17:00,CR_005_VIKRAM,FIELD_APP
PRN_EERA_0003,CUSTOMER,CT_MEERA,CASE,CR_006_MEERA,LOAN_PAYMENT,CASH,7291,FAILED,2026-01-29T18:34:00,CR_006_MEERA,FIELD_APP
PRN_KRAM_0021,CUSTOMER,CT_IKRAM,CASE,CR_005_VIKRAM,LOAN_PAYMENT,CASA_DEBIT,3305,SUCCESS,2026-01-29T18:50:00,CR_005_VIKRAM,TELECALLING
PRN_RIYA_0006,CUSTOMER,CT_PRIYA,CASE,CR_002_PRIYA,LOAN_PAYMENT,UPI,3444,SUCCESS,2026-02-03T12:20:00,CR_002_PRIYA,LINK
PRN_NJAY_0000,CUSTOMER,CT_ANJAY,CASE,CR_009_SANJAY,LOAN_PAYMENT,CASA_DEBIT,4861,SUCCESS,2026-02-04T20:17:00,CR_009_SANJAY,TELECALLING
PRN_JESH_0024,CUSTOMER,CT_AJESH,CASE,CR_001_RAJESH,LOAN_PAYMENT,CASA_DEBIT,8145,FAILED,2026-02-09T18:55:00,CR_001_RAJESH,FIELD_APP
PRN_AMIT_0008,CUSTOMER,CT__AMIT,CASE,CR_003_AMIT,LOAN_PAYMENT,NACH,2500,SUCCESS,2026-02-10T21:15:00,CR_003_AMIT,LINK
PRN_RIYA_0007,CUSTOMER,CT_PRIYA,CASE,CR_002_PRIYA,LOAN_PAYMENT,UPI,4305,FAILED,2026-02-12T10:28:00,CR_002_PRIYA,TELECALLING
PRN_RJUN_0021,CUSTOMER,CT_ARJUN,CASE,CR_007_ARJUN,LOAN_PAYMENT,CASH,2500,FAILED,2026-02-12T15:16:00,CR_007_ARJUN,TELECALLING
PRN_EERA_0010,CUSTOMER,CT_MEERA,CASE,CR_006_MEERA,LOAN_PAYMENT,NACH,6197,SUCCESS,2026-02-15T20:41:00,CR_006_MEERA,FIELD_APP
PRN_AMIT_0007,CUSTOMER,CT__AMIT,CASE,CR_003_AMIT,LOAN_PAYMENT,CASH,5000,SUCCESS,2026-02-18T09:42:00,CR_003_AMIT,LINK
PRN_AMIT_0013,CUSTOMER,CT__AMIT,CASE,CR_003_AMIT,LOAN_PAYMENT,NACH,4250,SUCCESS,2026-02-19T20:08:00,CR_003_AMIT,FIELD_APP
PRN_RJUN_0018,CUSTOMER,CT_ARJUN,CASE,CR_007_ARJUN,LOAN_PAYMENT,UPI,5000,SUCCESS,2026-02-20T20:24:00,CR_007_ARJUN,LINK
