disposition_ref_number,source,case_ref_number,customer_ref_number,disposition,contact_type,sub_disposition_label,sub_disposition,comment,created_at,promised_amount,followup_datetime,address_ref_number,is_true_visit,location_lat,location_lng
DRN_KRAM_0064,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,RNR,NC,RNR Reason,Customer Disconnected,,2023-12-29T19:21:00,0,,ADR_5_00,,,
DRN_RJUN_0001,TELECALLING,CR_007_ARJUN,CT_ARJUN,PTP,RPC,Payment Mode,Casa Debit,"Spoke briefly, busy",2023-12-30T16:32:00,0,2024-01-02T00:00:00,ADR_7_00,,,
DRN_RJUN_0006,AUTODIALER,CR_007_ARJUN,CT_ARJUN,RNR,NC,RNR Reason,Customer Disconnected,,2023-12-31T19:55:00,0,,ADR_7_00,,,
DRN_KRAM_0108,TELECALLING,CR_005_VIKRAM,CT_IKRAM,RNR,NC,RNR Reason,No Answer,,2024-01-06T19:29:00,0,,ADR_5_00,,,
DRN_KRAM_0033,VOICEBOT,CR_005_VIKRAM,CT_IKRAM,RNR,NC,RNR Reason,Customer Disconnected,,2024-01-09T13:42:00,0,,ADR_5_01,,,
DRN_OOJA_0024,VOICEBOT,CR_010_POOJA,CT_POOJA,RNR,NC,RNR Reason,No Answer,,2024-01-13T12:22:00,0,,ADR_10_00,,,
DRN_KRAM_0179,TELECALLING,CR_005_VIKRAM,CT_IKRAM,NC,NC,NC Reason,Number busy,,2024-01-16T16:38:00,0,,ADR_5_00,,,
DRN_KRAM_0011,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,NC,NC,NC Reason,Switch off,,2024-01-20T17:52:00,0,,ADR_5_01,,,
DRN_KRAM_0157,VOICEBOT,CR_005_VIKRAM,CT_IKRAM,TPC,TPC,Party Contacted,Brother,Spoke to family member,2024-01-21T16:10:00,0,,ADR_5_01,,,
DRN_OOJA_0017,TELECALLING,CR_010_POOJA,CT_POOJA,NC,NC,NC Reason,Auto Disconnect,,2024-01-24T14:20:00,0,,ADR_10_00,,,
DRN_KRAM_0198,FIELD,CR_005_VIKRAM,CT_IKRAM,PARTIAL_PAID,RPC,,,Customer paid partial amount,2024-02-04T11:15:00,0,,ADR_5_00,1.0,13.08282294664197,80.27054924453252
DRN_KRAM_0168,TELECALLING,CR_005_VIKRAM,CT_IKRAM,PTP,RPC,Payment Mode,Online,"Door was locked, neighbours unaware",2024-02-14T17:00:00,0,2024-02-21T00:00:00,ADR_5_00,,,
DRN_OOJA_0056,TELECALLING,CR_010_POOJA,CT_POOJA,WN,NC,,,,2024-02-19T15:45:00,0,,ADR_10_00,,,
DRN_KRAM_0058,VOICEBOT,CR_005_VIKRAM,CT_IKRAM,DOUBTFUL,RPC,,,"Customer evasive, gave vague answers about payment",2024-02-24T13:27:00,0,,ADR_5_00,,,
DRN_KRAM_0078,TELECALLING,CR_005_VIKRAM,CT_IKRAM,HUNG_UP,NC,,,,2024-02-28T09:54:00,0,,ADR_5_01,,,
DRN_OOJA_0036,AUTODIALER,CR_010_POOJA,CT_POOJA,RNR,NC,RNR Reason,Customer Disconnected,,2024-03-05T09:54:00,0,,ADR_10_00,,,
DRN_KRAM_0069,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,HUNG_UP,NC,,,,2024-03-07T12:41:00,0,,ADR_5_00,,,
DRN_KRAM_0124,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,PTP,RPC,Payment Mode,Casa Debit,"Spoke briefly, busy",2024-03-09T13:23:00,0,2024-03-13T00:00:00,ADR_5_00,,,
DRN_KRAM_0139,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,TPC,TPC,Party Contacted,Spouse,Spoke to family member,2024-03-13T17:01:00,0,,ADR_5_00,,,
DRN_KRAM_0098,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,CB,RPC,,,Will call back,2024-03-14T11:25:00,0,,ADR_5_01,,,
DRN_OOJA_0022,AUTODIALER,CR_010_POOJA,CT_POOJA,WN,NC,,,,2024-03-14T16:11:00,0,,ADR_10_00,,,
DRN_KRAM_0171,TELECALLING,CR_005_VIKRAM,CT_IKRAM,WN,NC,,,,2024-03-15T13:54:00,0,,ADR_5_01,,,
DRN_KRAM_0199,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,NC,NC,NC Reason,Not Reachable,,2024-03-16T18:24:00,0,,ADR_5_01,,,
DRN_OOJA_0027,FIELD,CR_010_POOJA,CT_POOJA,NOT_PRESENT,NC,,,,2024-03-17T12:20:00,0,,ADR_10_00,1.0,26.911803720718325,75.78810529464788
DRN_OOJA_0053,AUTODIALER,CR_010_POOJA,CT_POOJA,WN,NC,,,,2024-03-18T17:21:00,0,,ADR_10_00,,,
DRN_KRAM_0089,VOICEBOT,CR_005_VIKRAM,CT_IKRAM,WN,NC,,,,2024-03-19T13:51:00,0,,ADR_5_01,,,
DRN_KRAM_0054,VOICEBOT,CR_005_VIKRAM,CT_IKRAM,NC,NC,NC Reason,Not Reachable,,2024-03-19T17:01:00,0,,ADR_5_01,,,
DRN_KRAM_0013,TELECALLING,CR_005_VIKRAM,CT_IKRAM,RNR,NC,RNR Reason,No Answer,,2024-03-19T19:47:00,0,,ADR_5_00,,,
DRN_OOJA_0034,AUTODIALER,CR_010_POOJA,CT_POOJA,BPTP,RPC,,,,2024-03-22T14:27:00,0,,ADR_10_00,,,
DRN_KRAM_0081,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,CB,RPC,,,Will call back,2024-03-24T09:23:00,0,,ADR_5_00,,,
DRN_KRAM_0104,TELECALLING,CR_005_VIKRAM,CT_IKRAM,PTP,RPC,Payment Mode,Online,Will call back,2024-03-25T18:03:00,0,2024-03-29T00:00:00,ADR_5_00,,,
DRN_KRAM_0184,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,RNR,NC,RNR Reason,Customer Disconnected,,2024-03-28T11:33:00,0,,ADR_5_01,,,
DRN_KRAM_0074,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,WN,NC,,,,2024-03-28T17:03:00,0,,ADR_5_01,,,
DRN_OOJA_0028,FIELD,CR_010_POOJA,CT_POOJA,DL,NC,,,,2024-03-28T17:53:00,0,,ADR_10_00,1.0,26.911449076375057,75.78822298625992
DRN_KRAM_0131,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,WN,NC,,,,2024-04-01T15:19:00,0,,ADR_5_01,,,
DRN_KRAM_0031,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,FPTP,RPC,Payment Mode,Online,,2024-04-02T14:06:00,0,2024-04-12T00:00:00,ADR_5_00,,,
DRN_KRAM_0137,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,PTP,RPC,Payment Mode,Casa Debit,"Door was locked, neighbours unaware",2024-04-04T11:31:00,0,2024-04-08T00:00:00,ADR_5_00,,,
DRN_OOJA_0041,VOICEBOT,CR_010_POOJA,CT_POOJA,RNR,NC,RNR Reason,No Answer,,2024-04-08T09:10:00,0,,ADR_10_00,,,
DRN_RJUN_0012,FIELD,CR_007_ARJUN,CT_ARJUN,PTP,RPC,Payment Mode,Online,Mother said son not home,2024-04-09T09:19:00,0,2024-04-14T00:00:00,ADR_7_00,1.0,17.38433156056649,78.48551797224843
DRN_KRAM_0035,FIELD,CR_005_VIKRAM,CT_IKRAM,DL,NC,,,,2024-04-10T15:01:00,0,,ADR_5_01,1.0,13.082128057472824,80.27087069339055
DRN_KRAM_0123,FIELD,CR_005_VIKRAM,CT_IKRAM,DL,NC,,,,2024-04-13T09:50:00,0,,ADR_5_00,1.0,13.083426117063041,80.27084978413797
DRN_KRAM_0080,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,TPC,TPC,Party Contacted,Spouse,Spoke to family member,2024-04-18T12:19:00,0,,ADR_5_00,,,
DRN_OOJA_0055,FIELD,CR_010_POOJA,CT_POOJA,NOT_PRESENT,NC,,,,2024-04-25T12:27:00,0,,ADR_10_00,1.0,26.9117289004351,75.78709654922247
DRN_KRAM_0059,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,RNR,NC,RNR Reason,Customer Disconnected,,2024-04-27T15:15:00,0,,ADR_5_01,,,
DRN_KRAM_0094,VOICEBOT,CR_005_VIKRAM,CT_IKRAM,RNR,NC,RNR Reason,Customer Disconnected,,2024-05-03T10:13:00,0,,ADR_5_01,,,
DRN_OOJA_0011,TELECALLING,CR_010_POOJA,CT_POOJA,HUNG_UP,NC,,,,2024-05-04T14:06:00,0,,ADR_10_00,,,
DRN_KRAM_0047,TELECALLING,CR_005_VIKRAM,CT_IKRAM,UTP,RPC,UTP Reason,Medical Issue,,2024-05-04T17:33:00,0,,ADR_5_01,,,
DRN_KRAM_0165,VOICEBOT,CR_005_VIKRAM,CT_IKRAM,CB,RPC,,,Will call back,2024-05-07T19:03:00,0,,ADR_5_00,,,
DRN_VITA_0085,AUTODIALER,CR_008_KAVITA,CT_AVITA,NC,NC,NC Reason,Not Reachable,,2024-05-15T11:31:00,0,,ADR_8_00,,,
DRN_KRAM_0012,TELECALLING,CR_005_VIKRAM,CT_IKRAM,RNR,NC,RNR Reason,No Answer,,2024-05-15T17:06:00,0,,ADR_5_01,,,
DRN_VITA_0109,FIELD,CR_008_KAVITA,CT_AVITA,DL,NC,,,,2024-05-16T10:52:00,0,,ADR_8_00,1.0,22.572732654745252,88.36463149270607
DRN_VITA_0038,AUTODIALER,CR_008_KAVITA,CT_AVITA,NC,NC,NC Reason,Out of Service,,2024-05-16T14:06:00,0,,ADR_8_00,,,
DRN_KRAM_0105,VOICEBOT,CR_005_VIKRAM,CT_IKRAM,FPTP,RPC,Payment Mode,Online,,2024-05-16T18:59:00,0,2024-05-29T00:00:00,ADR_5_01,,,
DRN_KRAM_0102,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,TPC,TPC,Party Contacted,Spouse,Spoke to family member,2024-05-17T09:01:00,0,,ADR_5_00,,,
DRN_KRAM_0014,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,WN,NC,,,,2024-05-21T14:22:00,0,,ADR_5_01,,,
DRN_KRAM_0158,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,TPC,TPC,Party Contacted,Spouse,Spoke to family member,2024-05-23T11:19:00,0,,ADR_5_00,,,
DRN_KRAM_0185,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,RTP,RPC,,,Refused to pay,2024-05-29T16:31:00,0,,ADR_5_00,,,
DRN_VITA_0015,AUTODIALER,CR_008_KAVITA,CT_AVITA,NC,NC,NC Reason,Out of Service,,2024-05-30T13:45:00,0,,ADR_8_00,,,
DRN_VITA_0037,TELECALLING,CR_008_KAVITA,CT_AVITA,PTP,RPC,Payment Mode,Casa Debit,Asked for time,2024-06-06T12:44:00,0,2024-06-12T00:00:00,ADR_8_00,,,
DRN_KRAM_0020,TELECALLING,CR_005_VIKRAM,CT_IKRAM,NC,NC,NC Reason,Switch off,,2024-06-06T14:13:00,0,,ADR_5_00,,,
DRN_NITA_0001,FIELD,CR_004_SUNITA,CT_UNITA,PTP,RPC,Payment Mode,Pick-up,Promised to pay next week,2024-06-10T18:19:00,0,2024-06-15T00:00:00,ADR_4_00,1.0,12.972722484095705,77.5997541870075
DRN_KRAM_0046,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,WN,NC,,,,2024-06-12T12:07:00,0,,ADR_5_00,,,
DRN_VITA_0012,TELECALLING,CR_008_KAVITA,CT_AVITA,TPC,TPC,Party Contacted,Mother,Spoke to family member,2024-06-16T14:36:00,0,,ADR_8_00,,,
DRN_KRAM_0134,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,CB,RPC,,,Will call back,2024-06-17T10:41:00,0,,ADR_5_01,,,
DRN_KRAM_0101,FIELD,CR_005_VIKRAM,CT_IKRAM,ANF,NC,,,,2024-06-17T11:05:00,0,,ADR_5_00,1.0,13.081758117167206,80.27129679360695
DRN_VITA_0064,TELECALLING,CR_008_KAVITA,CT_AVITA,CB,RPC,,,Will call back,2024-06-17T12:18:00,0,,ADR_8_00,,,
DRN_OOJA_0035,AUTODIALER,CR_010_POOJA,CT_POOJA,HUNG_UP,NC,,,,2024-06-17T17:00:00,0,,ADR_10_00,,,
DRN_KRAM_0090,TELECALLING,CR_005_VIKRAM,CT_IKRAM,WN,NC,,,,2024-06-19T19:33:00,0,,ADR_5_00,,,
DRN_KRAM_0010,TELECALLING,CR_005_VIKRAM,CT_IKRAM,HUNG_UP,NC,,,,2024-06-21T15:33:00,0,,ADR_5_00,,,
DRN_OOJA_0052,AUTODIALER,CR_010_POOJA,CT_POOJA,NC,NC,NC Reason,Auto Disconnect,,2024-06-21T18:38:00,0,,ADR_10_00,,,
DRN_VITA_0051,FIELD,CR_008_KAVITA,CT_AVITA,DL,NC,,,,2024-06-21T18:47:00,0,,ADR_8_00,1.0,22.571737641851733,88.36393769906036
DRN_OOJA_0047,AUTODIALER,CR_010_POOJA,CT_POOJA,NC,NC,NC Reason,Number busy,,2024-06-25T16:22:00,0,,ADR_10_00,,,
DRN_OOJA_0045,AUTODIALER,CR_010_POOJA,CT_POOJA,WN,NC,,,,2024-06-26T17:07:00,0,,ADR_10_00,,,
DRN_KRAM_0152,TELECALLING,CR_005_VIKRAM,CT_IKRAM,WN,NC,,,,2024-06-30T14:37:00,0,,ADR_5_00,,,
DRN_KRAM_0040,TELECALLING,CR_005_VIKRAM,CT_IKRAM,WN,NC,,,,2024-07-01T16:38:00,0,,ADR_5_00,,,
DRN_RJUN_0015,VOICEBOT,CR_007_ARJUN,CT_ARJUN,WN,NC,,,,2024-07-01T19:27:00,0,,ADR_7_00,,,
DRN_VITA_0116,AUTODIALER,CR_008_KAVITA,CT_AVITA,PTP,RPC,Payment Mode,Online,"Door was locked, neighbours unaware",2024-07-03T19:10:00,0,2024-07-07T00:00:00,ADR_8_00,,,
DRN_KRAM_0051,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,NC,NC,NC Reason,Switch off,,2024-07-04T19:43:00,0,,ADR_5_00,,,
DRN_RJUN_0011,AUTODIALER,CR_007_ARJUN,CT_ARJUN,PTP,RPC,Payment Mode,Online,Mother said son not home,2024-07-05T17:51:00,0,2024-07-09T00:00:00,ADR_7_00,,,
DRN_VITA_0029,AUTODIALER,CR_008_KAVITA,CT_AVITA,DOUBTFUL,RPC,,,Did not give straight answer on payment date,2024-07-05T18:37:00,0,,ADR_8_00,,,
DRN_VITA_0021,FIELD,CR_008_KAVITA,CT_AVITA,LB,RPC,,,Could not communicate,2024-07-07T09:06:00,0,,ADR_8_00,1.0,22.572198579356648,88.36464166380806
DRN_VITA_0016,AUTODIALER,CR_008_KAVITA,CT_AVITA,FPTP,RPC,Payment Mode,Online,,2024-07-07T16:48:00,0,2024-07-28T00:00:00,ADR_8_00,,,
DRN_VITA_0105,AUTODIALER,CR_008_KAVITA,CT_AVITA,WN,NC,,,,2024-07-08T13:52:00,0,,ADR_8_00,,,
DRN_VITA_0004,TELECALLING,CR_008_KAVITA,CT_AVITA,WN,NC,,,,2024-07-11T15:43:00,0,,ADR_8_00,,,
DRN_VITA_0046,AUTODIALER,CR_008_KAVITA,CT_AVITA,RNR,NC,RNR Reason,Customer Disconnected,,2024-07-12T15:32:00,0,,ADR_8_00,,,
DRN_KRAM_0110,FIELD,CR_005_VIKRAM,CT_IKRAM,NOT_PRESENT,NC,,,,2024-07-13T11:10:00,0,,ADR_5_00,1.0,13.083690681330301,80.27149713428409
DRN_KRAM_0132,TELECALLING,CR_005_VIKRAM,CT_IKRAM,HUNG_UP,NC,,,,2024-07-15T13:47:00,0,,ADR_5_01,,,
DRN_KRAM_0039,TELECALLING,CR_005_VIKRAM,CT_IKRAM,NC,NC,NC Reason,Not Reachable,,2024-07-17T11:25:00,0,,ADR_5_00,,,
DRN_VITA_0011,AUTODIALER,CR_008_KAVITA,CT_AVITA,PTP,RPC,Payment Mode,Online,Says cash flow issue this month,2024-07-22T15:37:00,0,2024-07-28T00:00:00,ADR_8_00,,,
DRN_OOJA_0030,TELECALLING,CR_010_POOJA,CT_POOJA,HUNG_UP,NC,,,,2024-07-23T14:01:00,0,,ADR_10_00,,,
DRN_KRAM_0113,FIELD,CR_005_VIKRAM,CT_IKRAM,OS,NC,,,,2024-07-24T10:42:00,0,,ADR_5_00,1.0,13.082758523331744,80.27125085609966
DRN_VITA_0110,TELECALLING,CR_008_KAVITA,CT_AVITA,HUNG_UP,NC,,,,2024-07-24T16:02:00,0,,ADR_8_00,,,
DRN_VITA_0023,AUTODIALER,CR_008_KAVITA,CT_AVITA,WN,NC,,,,2024-07-25T10:31:00,0,,ADR_8_00,,,
DRN_VITA_0120,TELECALLING,CR_008_KAVITA,CT_AVITA,PTP,RPC,Payment Mode,Casa Debit,Promised to pay next week,2024-07-26T09:34:00,0,2024-07-30T00:00:00,ADR_8_00,,,
DRN_VITA_0074,AUTODIALER,CR_008_KAVITA,CT_AVITA,HUNG_UP,NC,,,,2024-07-27T09:05:00,0,,ADR_8_00,,,
DRN_VITA_0072,FIELD,CR_008_KAVITA,CT_AVITA,NOT_PRESENT,NC,,,,2024-07-31T10:15:00,0,,ADR_8_00,1.0,22.573371093238265,88.36411666456297
DRN_VITA_0044,VOICEBOT,CR_008_KAVITA,CT_AVITA,WN,NC,,,,2024-07-31T15:16:00,0,,ADR_8_00,,,
DRN_KRAM_0125,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,PTP,RPC,Payment Mode,Casa Debit,Says NACH should have worked,2024-08-05T18:48:00,0,2024-08-12T00:00:00,ADR_5_00,,,
DRN_KRAM_0027,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,TPC,TPC,Party Contacted,Mother,Spoke to family member,2024-08-07T17:01:00,0,,ADR_5_01,,,
DRN_KRAM_0044,TELECALLING,CR_005_VIKRAM,CT_IKRAM,PTP,RPC,Payment Mode,Online,"Door was locked, neighbours unaware",2024-08-07T17:39:00,0,2024-08-09T00:00:00,ADR_5_01,,,
DRN_KRAM_0045,TELECALLING,CR_005_VIKRAM,CT_IKRAM,HUNG_UP,NC,,,,2024-08-10T16:25:00,0,,ADR_5_00,,,
DRN_VITA_0002,FIELD,CR_008_KAVITA,CT_AVITA,UTP,RPC,UTP Reason,Loss of income,Mother said son not home,2024-08-11T18:59:00,0,,ADR_8_00,1.0,22.572468837626655,88.36401629665399
DRN_KRAM_0112,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,TPC,TPC,Party Contacted,Spouse,Spoke to family member,2024-08-14T11:59:00,0,,ADR_5_01,,,
DRN_OOJA_0033,AUTODIALER,CR_010_POOJA,CT_POOJA,RNR,NC,RNR Reason,No Answer,,2024-08-15T10:11:00,0,,ADR_10_00,,,
DRN_KRAM_0085,FIELD,CR_005_VIKRAM,CT_IKRAM,ANF,NC,,,,2024-08-15T13:26:00,0,,ADR_5_01,1.0,13.082222146258362,80.27082420641067
DRN_KRAM_0190,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,UTP,RPC,UTP Reason,Loss of income,,2024-08-18T09:13:00,0,,ADR_5_00,,,
DRN_KRAM_0019,TELECALLING,CR_005_VIKRAM,CT_IKRAM,TPC,TPC,Party Contacted,Brother,Spoke to family member,2024-08-20T10:23:00,0,,ADR_5_00,,,
DRN_OOJA_0006,FIELD,CR_010_POOJA,CT_POOJA,OS,NC,,,,2024-08-25T09:37:00,0,,ADR_10_00,1.0,26.9116843590405,75.78788145452985
DRN_VITA_0063,FIELD,CR_008_KAVITA,CT_AVITA,NOT_PRESENT,NC,,,,2024-08-25T13:18:00,0,,ADR_8_00,1.0,22.572543645012043,88.36290109928392
DRN_KRAM_0195,FIELD,CR_005_VIKRAM,CT_IKRAM,OS,NC,,,,2024-08-27T09:01:00,0,,ADR_5_00,1.0,13.082555629166428,80.27144163336548
DRN_KRAM_0022,FIELD,CR_005_VIKRAM,CT_IKRAM,PTP,RPC,Payment Mode,Online,"Door was locked, neighbours unaware",2024-08-28T12:18:00,0,2024-08-31T00:00:00,ADR_5_01,1.0,13.083955996028537,80.2707876933883
DRN_KRAM_0144,FIELD,CR_005_VIKRAM,CT_IKRAM,PTP,RPC,Payment Mode,Casa Debit,Says NACH should have worked,2024-08-29T15:09:00,0,2024-08-31T00:00:00,ADR_5_01,1.0,13.082668986732209,80.27046362207477
DRN_KRAM_0148,TELECALLING,CR_005_VIKRAM,CT_IKRAM,WN,NC,,,,2024-08-31T18:32:00,0,,ADR_5_01,,,
DRN_KRAM_0061,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,PTP,RPC,Payment Mode,Online,"Door was locked, neighbours unaware",2024-09-01T09:04:00,0,2024-09-03T00:00:00,ADR_5_00,,,
DRN_OOJA_0016,AUTODIALER,CR_010_POOJA,CT_POOJA,UTP,RPC,UTP Reason,Medical Issue,,2024-09-01T13:28:00,0,,ADR_10_00,,,
DRN_KRAM_0003,TELECALLING,CR_005_VIKRAM,CT_IKRAM,TPC,TPC,Party Contacted,Mother,Spoke to family member,2024-09-03T15:35:00,0,,ADR_5_00,,,
DRN_VITA_0067,AUTODIALER,CR_008_KAVITA,CT_AVITA,FPTP,RPC,Payment Mode,Online,,2024-09-03T16:57:00,0,2024-09-30T00:00:00,ADR_8_00,,,
DRN_KRAM_0025,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,HUNG_UP,NC,,,,2024-09-04T19:16:00,0,,ADR_5_00,,,
DRN_KRAM_0091,TELECALLING,CR_005_VIKRAM,CT_IKRAM,TPC,TPC,Party Contacted,Brother,Spoke to family member,2024-09-06T18:24:00,0,,ADR_5_00,,,
DRN_VITA_0084,AUTODIALER,CR_008_KAVITA,CT_AVITA,TPC,TPC,Party Contacted,Mother,Spoke to family member,2024-09-09T15:26:00,0,,ADR_8_00,,,
DRN_OOJA_0026,AUTODIALER,CR_010_POOJA,CT_POOJA,RTP,RPC,,,Refused to pay,2024-09-13T11:12:00,0,,ADR_10_00,,,
DRN_VITA_0071,VOICEBOT,CR_008_KAVITA,CT_AVITA,NC,NC,NC Reason,Out of Service,,2024-09-14T15:58:00,0,,ADR_8_00,,,
DRN_KRAM_0188,TELECALLING,CR_005_VIKRAM,CT_IKRAM,TPC,TPC,Party Contacted,Father,Spoke to family member,2024-09-15T10:18:00,0,,ADR_5_00,,,
DRN_RJUN_0009,FIELD,CR_007_ARJUN,CT_ARJUN,PAID,RPC,,,,2024-09-15T12:28:00,0,,ADR_7_00,1.0,17.384738768616966,78.48694568647092
DRN_VITA_0026,TELECALLING,CR_008_KAVITA,CT_AVITA,UTP,RPC,UTP Reason,Unexpected Family Expense,,2024-09-16T15:58:00,0,,ADR_8_00,,,
DRN_OOJA_0015,AUTODIALER,CR_010_POOJA,CT_POOJA,WN,NC,,,,2024-09-18T15:54:00,0,,ADR_10_00,,,
DRN_KRAM_0017,FIELD,CR_005_VIKRAM,CT_IKRAM,NOT_PRESENT,NC,,,,2024-09-19T19:24:00,0,,ADR_5_00,1.0,13.083496673793832,80.27149763114502
DRN_VITA_0100,FIELD,CR_008_KAVITA,CT_AVITA,PAID,RPC,,,,2024-09-20T10:16:00,0,,ADR_8_00,1.0,22.572506735568723,88.36396060491298
DRN_KRAM_0153,TELECALLING,CR_005_VIKRAM,CT_IKRAM,TPC,TPC,Party Contacted,Father,Spoke to family member,2024-09-21T19:11:00,0,,ADR_5_00,,,
DRN_KRAM_0135,AUTODIALER,CR_005_VIKRAM,CT_IKRAM,RNR,NC,RNR Reason,Customer Disconnected,,2024-09-24T10:11:00,0,,ADR_5_01,,,
DRN_VITA_0017,AUTODIALER,CR_008_KAVITA,CT_AVITA,PTP,RPC,Payment Mode,Online,No commitment given,2024-09-26T11:13:00,0,2024-10-03T00:00:00,ADR_8_00,,,
DRN_VITA_0027,FIELD,CR_008_KAVITA,CT_AVITA,NOT_PRESENT,NC,,,,2024-09-27T09:45:00,0,,ADR_8_00,1.0,22.572207904652274,88.36470496069094
DRN_KRAM_0042,FIELD,CR_005_VIKRAM,CT_IKRAM,NOT_PRESENT,NC,,,,2024-09-27T12:59:00,0,,ADR_5_00,1.0,13.081776131201783,80.26979736166004
DRN_OOJA_0003,AUTODIALER,CR_010_POOJA,CT_POOJA,WN,NC,,,,2024-10-02T13:25:00,0,,ADR_10_00,,,
DRN_KRAM_0106,FIELD,CR_005_VIKRAM,CT_IKRAM,DL,NC,,,,2024-10-03T16:06:00,0,,ADR_5_01,1.0,13.082322759145457,80.26984431065027
DRN_OOJA_0060,AUTODIALER,CR_010_POOJA,CT_POOJA,HUNG_UP,NC,,,,2024-10-04T14:47:00,0,,ADR_10_00,,,
